No. of Digite,number of space,"Number(fromcharcode,charcodeAt,charAt)",Long string,longest string length,hexa value,eval(),concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,function,var _,encodeURIComponent,decodeURIComponent,/,|,%,no of( \),no of =,;,#,no of +,., no of ',Found / Not Found
133,5217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,5,32,0,0,117,61,0,33,250,0,0
44,1043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,7,13,0,2,62,13,10,15,126,30,0
736,32,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,5,3,0,0,27,18,0,14,14,6,1
256,17382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,358,289,9,0,0,1432,91,12,0,921,1241,7,154,1492,716,0
10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,4,0,15,6,0,0,35,9,0,16,28,28,1
1331,1410,0,4,372,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,473,700,0,1,2,207,386,27,6,3074,844,103,389,5541,74,0
7121,29,0,16,15148,4160,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,5,2,1,4160,11,26,0,7,1,0,1
22,3231,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,24,44,0,0,0,8,22,0,6,135,32,1,16,137,4,0
126,121,1,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,39,1,4,1,19,29,0,42,158,60,0,55,154,12,1
1181,478,0,3,583,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,201,228,0,0,0,87,449,3,1,1450,381,3,142,3940,0,0
1505,635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,1,0,0,6,12,1
969,39346,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,284,237,8,0,0,609,289,3,1,1489,1851,12,156,4061,474,0
189,490,7,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,14,0,0,0,0,0,21,0,0,0,21,7,0,0,0,0,0,7,57,21,0,14,0,64,0,0,0,343,133,0,196,212,224,1
1106,70534,3,0,0,13,0,2,1,0,3,0,14,3,1,8,0,10,0,33,0,2,0,0,0,2,19,0,0,0,2,1,2,0,9,0,282,601,0,2,0,177,1080,0,257,3187,656,11,513,3105,33,0
66,2334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,39,0,0,0,22,41,0,2,86,17,1,22,149,2,0
4989,119,0,10,6180,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,27,0,1,5,4,7,1749,78,65,0,28,3,0,1
236,195,0,1,164,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,112,1,0,0,56,98,43,0,435,119,1,96,984,14,0
559,32,0,1,82,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,0,0,8,0,0,118,24,18,0,0,2,0,1
