eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,ratio between space and charecters,function,No. of encoded charecters,ratio between encoded & chareceters,No. of backslas (/),No. of pipe characters,percentage between pipe (|) charcters,No. of Digite,percentage between digit and character,percentage between hexa/octa and characters,No. of % character,No. of \ charecters,No. of =,ratio beween = and charecters,No. of ? Charecters,Number of ! Charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,"No of ',' charecters",No. of '#' charecters,No. of '+' charecters,No.of '.' charecters,No. of ' charecters,Found / Not Found
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000109,0,18178,0.999285,0,0,0,12587,0.691935,0.999341,0,0,1,0.000055,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5217,0.43,32,0,0,5,32,0.002681,133,0.011142,0,0,0,117,0.0098023,18,25,0,0,61,186,0,33,250,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1043,0.20177,20,0,0,7,13,0.002514,44,0.008512,0,0,2,62,0.0119945,7,5,0,0,13,121,10,15,126,30,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0.004714,2,6048,0.891115,5,3,0.000442,736,0.108442,0.189333,0,0,27,0.003978,0,0,0,0,18,13,0,14,14,6,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,7,0.007856,0,0,0,15,6,0.006734,10,0.011223,0,0,0,35,0.039281,6,5,4,0,9,1,0,16,28,28,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,15852,4160,4,29,0.001594,8,16901,0.929085,5,2,0.000109,7121,0.391457,0.477654,1,4160,11,0.000605,2,1,0,0,26,102,0,7,1,0,1
0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,24,0,0,0,0,3231,0.35892,44,0,0,8,22,0.002444,22,0.002444,0,0,6,135,0.014996,16,22,0,0,32,246,1,16,137,4,0
1,1,0,0,0,0,0,0,6,5,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,121,0.024714,39,0,0,19,29,0.005923,126,0.025735,0,0,42,158,0.032271,24,12,4,1,60,165,0,55,154,12,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0.209501,0,2754,0.908611,12,0,0,1505,0.496535,0,0,0,8,0.002639,1,0,0,0,1,626,0,0,6,12,1
0,7,0,0,0,0,7,0,0,0,7,0,7,14,0,0,0,0,0,21,0,0,0,21,7,0,0,0,0,0,7,57,0,0,0,0,490,0.057531,21,0,0,64,0,0,189,0.02219,0,0,0,343,0.040272,35,7,14,0,133,84,0,196,212,224,1
0,3,2,1,0,3,0,14,3,1,8,0,10,0,33,0,2,0,0,0,2,19,0,0,0,2,1,2,0,9,0,282,0,0,13,0,70534,0.429109,601,0,0,177,1080,0.00657,1106,0.006728,0,0,257,3187,0.019388,441,638,2,0,656,3427,11,513,3105,33,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2334,0.352727,39,0,0,22,41,0.006196,66,0.009974,0,0,2,86,0.012996,14,28,0,0,17,108,1,22,149,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,6404,1749,27,119,0.009787,8,11821,0.972281,5,4,0.000329,4989,0.410347,0.143855,7,1749,78,0.006415,2,7,0,1,65,173,0,28,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,282,118,3,32,0.0018411,2,1565,0.90046,8,0,0,559,0.321634,0.337169,0,118,24,0.013808,0,2,0,0,18,89,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,68,0.001841,0,0,0,7,0,0,6,0.009259,0,0,0,22,0.03395,2,4,4,0,9,0,0,12,8,14,1
0,0,7,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,4,0,0,0,82,1,45,0,0,13827,0.490127,86,0,0,27,153,0.005423,137,0.004856,0,4,3,388,0.013753,9,53,0,0,206,254,0,51,452,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,5,671,0.153216,5,4313,0.984253,3,1,0.000228,1998,0.455956,0.459607,0,0,24,0.005476,0,8,0,0,30,721,0,2,12,58,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,25,0,0,0,0,4375,0.395319,26,0,0,8,36,0.003252,111,0.010029,0,0,0,218,0.019698,10,55,0,0,60,141,0,37,230,0,0
0,0,1,0,0,3,0,1,0,0,11,0,1,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,293,0.010113,199,0,0,46,151,0.005211,164,0.005661,0,1,17,603,0.020813,75,78,0,0,160,793,18,49,1535,38,1
0,6,1,0,0,0,0,0,5,0,2,0,5,3,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,140,28,1154,3,0,21455,0.287461,304,0,0,26,171,0.002291,346,0.004635,0,4,4,1273,0.017056,58,122,1,0,992,1022,7,111,3234,13,0
0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4382,0.372175,45,0,0,13,42,0.003567,41,0.003482,0,0,2,180,0.015287,26,29,0,0,34,228,0,31,287,4,0
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0.002703,0,933,0.84054,2,0,0,306,0.275675,0.305405,0,0,8,0.007207,0,0,0,0,22,12,0,3,4,176,1
1,8,5,0,0,0,0,0,3,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,106,0.008655,96,11295,0.922342,13,82,0.006696,833,0.068022,0,6,16,545,0.044504,30,36,0,0,132,965,0,114,492,2,1
1,1,0,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0.019417,5,596,0.385761,14,87,0.056311,123,0.079611,0,1,24,45,0.029126,6,5,0,0,26,27,0,19,33,36,1
0,15,2,0,0,0,1,9,3,1,3,3,29,24,30,0,2,0,0,0,2,6,1,0,0,2,0,0,0,2,0,283,0,0,6,0,35800,0.422967,235,0,0,228,427,0.005044,1227,0.014496,0,14,103,1736,0.0205103,206,326,8,7,1024,1516,19,335,1532,8,0
0,0,1,2,0,0,0,1,4,1,1,0,5,2,3,0,2,1,2,9,0,5,9,7,0,0,0,0,1,4,0,262,0,0,0,0,36870,0.368081,411,0,0,109,149,0.001487,1097,0.010951,0,17,30,1199,0.011969,112,302,1,0,914,1582,12,138,1654,8,0
0,10,2,0,2,1,3,0,0,4,2,0,21,4,39,0,2,0,0,2,4,8,5,0,0,0,0,1,0,1,0,230,0,0,3,2,45659,0.366347,325,0,0,138,674,0.005408,1721,0.013808,0,30,164,1519,0.012187,201,422,1,1,1297,1317,123,372,3045,78,0
0,3,0,0,0,0,0,0,5,1,0,0,6,4,1,0,6,0,0,1,0,2,2,0,0,2,0,2,0,0,3,60,0,0,0,0,292,0.024936,49,0,0,52,38,0.003245,287,0.024508,0,8,19,410,0.035012,35,27,1,1,226,205,2,173,626,12,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,701,0,0,0,0,0,1910,0.981501,15,0,0,979,0.503083,0.578622,387,0,0,0,0,0,0,0,2,0,0,0,9,4,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.006369,0,0,0,2,0,0,21,0.133757,0,0,0,1,0.006369,0,0,0,0,1,2,0,5,2,2,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4063,0,0,600,0.103914,2,4061,0.703325,26,0,0,2177,0.377034,0,0,0,25,0.004329,0,1,0,0,19,0,0,10,13,2,1
0,12,2,4,1,1,1,0,13,0,3,3,36,38,13,6,2,0,0,0,2,4,2,0,0,4,0,4,0,1,0,243,0,0,0,0,35496,0.411904,272,0,0,154,388,0.004489,1530,0.017705,0,24,70,1575,0.018225,167,427,5,6,1164,1902,5,348,1897,9,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,30,0.006176,2,4166,0.857731,3,3,0.000617,422,0.086885,0,0,0,25,0.0051472,0,0,0,0,18,13,0,14,14,6,1
4,4,6,2,0,0,0,16,2,1,6,3,15,0,40,0,2,0,0,0,8,33,5,0,3,0,1,5,0,9,0,292,0,0,6,0,74147,0.415028,618,0,0,220,1332,0.007455,1263,0.007069,0,8,266,3524,0.019725,500,712,2,0,735,3627,13,554,3584,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000516,0,9666,0.997317,2,0,0,850,0.087701,0,0,0,3,0.000309,0,0,0,0,1,0,0,20,0,2,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4774,0.311985,52,0,0,40,119,0.007777,70,0.004574,0,1,38,246,0.016076,240,51,0,0,63,339,10,47,432,29,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,7418,2041,3,28,0.002883,8,8432,0.868472,5,2,0.000206,3769,0.388196,0,1,2045,10,0.001029,2,1,0,0,26,99,0,7,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,118,0.023637,8,4886,0.978766,5,4,0.000801,1916,0.383814,0.384415,7,0,77,0.015424,2,7,0,1,64,122,0,28,3,0,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,28,0.021995,8,1255,0.98586,5,2,0.001571,363,0.285153,0.285938,1,0,10,0.007855,2,1,0,0,25,15,0,7,1,0,1
1,6,6,2,0,0,0,12,1,1,7,0,15,0,44,0,2,2,0,0,6,17,8,0,0,0,0,5,0,9,0,284,0,0,10,1,76291,0.415531,621,0,0,267,1363,0.007423,1217,0.006628,0,8,0,3569,0.019439,549,739,2,0,748,3795,11,563,3769,61,0
6,1,8,6,4,6,1,22,1,0,0,2,5,2,19,1,0,1,0,0,3,14,7,2,0,0,0,1,0,23,2,93,0,0,12,1,224,0.013469,71,0,0,64,78,0.00469,185,0.011124,0,0,112,313,0.018821,36,28,0,0,242,350,0,105,432,26,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5462,1365,0,0,0,0,4560,0.999561,0,0,0,2261,0.495615,0.598421,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4211,0.292166,34,0,0,5,20,0.001387,115,0.007978,0,7,0,135,0.009366,31,31,0,0,12,135,3,72,618,2,0
0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3534,0.318867,28,0,0,20,18,0.001624,88,0.007941,0,1,3,97,0.008752,16,17,0,0,50,192,3,34,332,18,0
0,0,0,0,4,1,1,14,2,8,9,0,19,3,13,0,0,0,0,4,0,4,0,11,3,0,0,3,0,2,4,183,0,0,0,0,605,0.015728,146,0,0,210,210,0.005459,1310,0.034057,0,9,23,798,0.020746,26,41,3,0,491,442,348,399,827,164,1
1,47,9,22,1,1,3,8,56,6,26,0,15,30,39,9,7,0,2,16,9,27,5,0,0,12,0,16,0,4,21,618,1,40,39,6,3832,0.0184984,1274,0,0,484,829,0.004002,3481,0.016804,0,96,414,4452,0.021492,426,1023,18,3,3112,6204,106,765,6265,144,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,29,0.015191,11,153,0.080146,12,2,0.001047,124,0.064955,0,1,0,58,0.030382,4,6,0,0,52,49,1,11,67,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,448,0.024627,0,5460,0.300148,14,43,0.002363,4158,0.228574,0.269913,4,3600,497,0.027321,7,35,0,0,394,215,0,79,366,6,1
0,3,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,9,0,0,0,9,3,0,0,0,0,0,3,24,0,0,0,0,210,0.057221,9,0,0,28,0,0,88,0.023978,0,0,0,147,0.040054,15,3,6,0,57,36,0,84,92,96,1
1,6,0,0,0,0,0,0,9,14,1,0,2,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,22602,0.399844,84,0,0,65,133,0.002352,601,0.010631,0,12,58,785,0.013885,122,157,0,0,167,917,0,222,1414,57,0
6,5,0,0,0,0,0,0,6,7,0,0,6,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,1,40,0,0,62,0.008745,26,2077,0.292948,41,441,0.062201,305,0.043018,0,5,352,170,0.023977,29,14,0,0,104,180,2,55,175,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,206,109,2,7,0.007063,3,388,0.391523,3,2,0.002018,291,0.293642,0.394551,0,109,11,0.011099,0,4,0,0,13,13,0,2,0,56,1
0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3534,0.318866,28,0,0,20,18,0.001624,88,0.007941,0,1,3,97,0.008752,16,17,0,0,50,192,3,34,332,18,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,1408,574,15,80,0.014638,5,5411,0.990119,5,5,0.000915,1890,0.345837,0.508874,0,583,32,0.005855,2,6,0,1,31,76,0,26,1,2,1
0,10,0,0,0,0,1,1,1,0,1,2,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,16760,0.459543,202,0,0,98,129,0.003537,472,0.012942,0,0,30,546,0.014971,23,124,1,0,251,769,3,114,750,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,432,0,1,27,0.024346,3,864,0.779081,9,0,0,539,0.486023,0.651037,0,0,6,0.005411,0,1,0,0,8,2,0,2,6,4,1
0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,39,2,118,0,0,1998,0.4048632,10,0,0,37,8,0.001621,115,0.023302,0,14,8,74,0.014994,2,5,1,0,50,52,0,32,102,0,0
0,2,0,0,0,0,1,2,10,3,2,2,8,6,7,0,4,2,0,0,1,4,4,9,0,0,0,3,0,4,0,60,3,167,0,0,12848,0.455054,65,0,0,64,102,0.003613,913,0.032337,0,0,13,366,0.012963,31,53,4,1,125,509,4,116,598,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,608,0.203344,0,2608,0.872241,17,0,0,1439,0.481271,0,0,0,7,0.002341,2,0,0,0,1,597,0,0,11,0,1
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,0.03125,2,358,0.385775,2,3,0.003232,91,0.098061,0,0,0,24,0.025862,0,0,0,0,18,13,0,13,14,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5710,0,1,4,0.000697,0,5708,0.995292,0,0,0,454,0.079163,0.349258,0,0,1,0.000174,0,0,0,0,1,0,0,0,0,2,1
0,2,3,0,0,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,1,2,2,2,0,2,0,1,0,30,0,96,3,148,0,0,16749,0.510221,108,0,0,138,109,0.003316,245,0.007463,0,0,37,404,0.012307,39,56,0,0,151,523,0,72,524,6,0
1,20,2,0,0,0,0,0,8,3,4,13,3,2,15,2,0,0,0,0,0,6,4,0,0,3,0,2,0,14,0,128,1,37,0,0,21809,0.399169,229,0,0,91,93,0.001702,831,0.0152098,0,1,125,663,0.012135,85,93,4,2,243,243,9,209,783,14,0
0,3,4,1,0,2,0,13,3,1,8,0,10,0,38,0,2,0,0,0,2,19,7,0,0,2,1,2,0,9,0,282,0,0,13,0,70534,0.429109,642,0,0,177,1080,0.006571,1106,0.006729,0,8,257,3187,0.019389,441,638,2,0,656,3427,11,513,3105,33,0
0,6,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,62,30,14532,3874,52,342,0.0102205,62,7873,0.235282,24,30,0.000897,11208,0.334947,0.440679,30,3892,408,0.012193,20,40,0,6,388,520,0,158,8,644,1
1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,9042,6,13,14,0.001433,1,9040,0.925471,5,0,0,7114,0.728296,0.925471,0,6,21,0.002149,1,0,0,0,24,3,0,7,4,12,1
0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,2,208,0,0,116,0.056012,3,204,0.098503,1,0,0,165,0.079672,0.098503,78,0,118,0.056977,0,40,0,0,109,9,0,6,21,154,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,2436,705,5,16,0.003774,5,2940,0.693396,0,0,0,1597,0.376651,0.474764,0,705,14,0.003302,3,3,0,0,8,59,0,0,0,0,1
