eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,function,No. of backslas (/),No. of pipe characters,No. of Digite,No. of % character,No. of \ charecters,No. of =,encodeURIComponent,decodeURIComponent,No. of ';' charecters,No. of '#' charecters,No. of '+' charecters,No. of ' charecters,Found / Not Found
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12587,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,5217,32,5,32,133,0,0,117,0,0,61,0,33,0,0
0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1043,20,7,13,44,0,2,62,0,0,13,10,15,30,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,2,5,3,736,0,0,27,0,0,18,0,14,6,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,7,0,15,6,10,0,0,35,4,0,9,0,16,28,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,15852,4160,4,29,8,5,2,7121,1,4160,11,0,0,26,0,7,0,1
0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,24,0,0,0,0,3231,44,8,22,22,0,6,135,0,0,32,1,16,4,0
1,1,0,0,0,0,0,0,6,5,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,121,39,19,29,126,0,42,158,4,1,60,0,55,12,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,12,0,1505,0,0,8,0,0,1,0,0,12,1
0,7,0,0,0,0,7,0,0,0,7,0,7,14,0,0,0,0,0,21,0,0,0,21,7,0,0,0,0,0,7,57,0,0,0,0,490,21,64,0,189,0,0,343,14,0,133,0,196,224,1
0,3,2,1,0,3,0,14,3,1,8,0,10,0,33,0,2,0,0,0,2,19,0,0,0,2,1,2,0,9,0,282,0,0,13,0,70534,601,177,1080,1106,0,257,3187,2,0,656,11,513,33,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2334,39,22,41,66,0,2,86,0,0,17,1,22,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,6404,1749,27,119,8,5,4,4989,7,1749,78,0,1,65,0,28,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,282,118,3,32,2,8,0,559,0,118,24,0,0,18,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,68,0,7,0,6,0,0,22,4,0,9,0,12,14,1
0,0,7,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,4,0,0,0,82,1,45,0,0,13827,86,27,153,137,4,3,388,0,0,206,0,51,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,5,671,5,3,1,1998,0,0,24,0,0,30,0,2,58,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,25,0,0,0,0,4375,26,8,36,111,0,0,218,0,0,60,0,37,0,0
0,0,1,0,0,3,0,1,0,0,11,0,1,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,293,199,46,151,164,1,17,603,0,0,160,18,49,38,1
0,6,1,0,0,0,0,0,5,0,2,0,5,3,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,140,28,1154,3,0,21455,304,26,171,346,4,4,1273,1,0,992,7,111,13,0
0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4382,45,13,42,41,0,2,180,0,0,34,0,31,4,0
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,306,0,0,8,0,0,22,0,3,176,1
1,8,5,0,0,0,0,0,3,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,106,96,13,82,833,6,16,545,0,0,132,0,114,2,1
1,1,0,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30,5,14,87,123,1,24,45,0,0,26,0,19,36,1
0,15,2,0,0,0,1,9,3,1,3,3,29,24,30,0,2,0,0,0,2,6,1,0,0,2,0,0,0,2,0,283,0,0,6,0,35800,235,228,427,1227,14,103,1736,8,7,1024,19,335,8,0
0,0,1,2,0,0,0,1,4,1,1,0,5,2,3,0,2,1,2,9,0,5,9,7,0,0,0,0,1,4,0,262,0,0,0,0,36870,411,109,149,1097,17,30,1199,1,0,914,12,138,8,0
0,10,2,0,2,1,3,0,0,4,2,0,21,4,39,0,2,0,0,2,4,8,5,0,0,0,0,1,0,1,0,230,0,0,3,2,45659,325,138,674,1721,30,164,1519,1,1,1297,123,372,78,0
0,3,0,0,0,0,0,0,5,1,0,0,6,4,1,0,6,0,0,1,0,2,2,0,0,2,0,2,0,0,3,60,0,0,0,0,292,49,52,38,287,8,19,410,1,1,226,2,173,12,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,701,0,0,0,0,15,0,979,387,0,0,0,0,2,0,0,4,1
